RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2308.7054738093984,2308.64685485958,2303.6304664698177,2325.176950856816,2344.889843509667,2376.615910709591,2376.403707266329,2387.151261401105,2393.435955386406,2387.4059475045406,2400.360288099963,2399.789425555368,2419.6843674845377,2412.01414573733,2428.620295555253,2443.1221626512265,2472.1185309397383,2487.558164081128,2499.9653183962446,2498.9653457314002,2504.20414428508,2509.7781436879814,2508.619200846245,2513.811937906867,2518.7697483816387,2529.170931519827,2545.6240030084414,2572.534245422193,2590.0776104334213,2613.6624846053114,2627.9738753059946,2638.411892203073,2629.8913084823876,2616.1256743308863,2609.8382831781696,2607.4793101647415,2615.265868425508,2627.8547278007163,2654.785423935327,2680.004724553043,2710.500655952733,2724.6168458593593,2736.7249928450556,2736.523686058373,2726.886686671379,2712.811589783576,2711.342264377499,2721.952454179401,2744.735821295864,2771.0001072937707,2794.361738335673,2816.434216577383,2831.00059104653,2846.9149288503304,2859.4258844071555,2863.0006052147723,2852.9552020823817,2839.171459919769,2825.0057668565833,2826.2373203961533,2831.2166417027,2844.7472986832763,2858.5218249276413,2875.532724351083,2892.8633175459286,2903.220511685156,2905.941638748345,2896.87509080985,2882.611846422805,2862.531762436789,2848.35479164313,2845.272479688734,2852.9560788957137,2870.1509168481916,2890.079428994044,2911.9144600250197,2930.8738127994898,2940.3390773491365,2936.359670703267,2919.704056878532,2892.8433576858447,2870.8458925434766,2860.862910947539,2865.9874356659006,2882.095190277443,2902.4705300956903,2927.269643419278,2950.3171141031917,2969.358835894259,2984.584832323823,2989.4794880117533,2981.1828428075028,2962.1023249014956,2945.1563189546505,2935.2138475311363,2941.732595839722,2958.1737224979993,2981.9224356099126,3009.2111404646403,3035.094009217516,3059.771353835686,3074.851541391782,3079.5393400767884,3074.603239231646,3056.3129089608306,3042.4175221451856,3038.2911035447437,3052.848095591675,3069.4397602289587,3062.1522315261896,3035.0220761221876,2992.075380694168,2948.127056034411,2884.3499599057227,,2737.7425558366836,2688.1248665371127,2660.171594462619,2644.941808365096,2650.4970274473276,2674.194313680136,2718.5356932260456,2778.221849918005,2854.190421173141,2941.768016763015,3024.9308738937925,3094.09156451751,3133.797929542786,3161.233187204024,3179.5324973959027,3208.0427136207018,3249.123611138401,3297.091048837075,3353.225222316388,3420.2217543142874,3493.977535455216,3554.5416601511456,3588.623564867304,3588.2262088261823,3564.0916385841397,3517.1238955529043,3481.7615397761388,3471.2702949422564,3484.966857710534,3512.621030597913,3552.6249883471537,3602.7153536187834
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1569.6175369057287,1582.280193047546,1591.9782702635252,1594.536032951553,1604.5176180937094,1601.41324330044,1610.2271474192407,1611.8899345471173,1620.7835652983433,1620.5182834142793,1626.400096515946,1617.739154889097,1632.9674506131325,1637.7576570719623,1657.1977650100116,1662.041626076542,1674.4200354194402,1672.5270857419544,1682.1963031534167,1684.9895585546299,1701.8130374756233,1700.6297826932607,1702.4114647866686,1706.2701680446999,1713.1798546729879,1727.1694390037326,1735.5764507779938,1746.7185373878767,1753.5704200719222,1760.009642814077,1774.2688932781084,1787.311256694664,1777.0720688997008,1777.1247155264657,1772.5301964459234,1798.6354013117407,1807.9563622271478,1820.6073871630751,1830.1630689755455,1844.838911332062,1865.0517587085578,1881.5921307675542,1894.177983649767,1904.004877445646,1909.3591561466574,1915.5856939713558,1924.7607688757855,1939.2468568991878,1954.021080620192,1964.6342592565468,1982.4881151068755,1996.9488653397011,2017.5051990887098,2034.4999830447396,2050.8888422000045,2059.173173085391,2062.915293456136,2062.745075097439,2076.2610028677627,2095.383139067293,2119.507530008668,2128.433687796187,2145.0871125765602,2161.7285242975213,2176.6461658597095,2178.203580535401,2180.6401786713614,2186.931304186678,2190.2133178545264,2194.2455472290035,2207.01198945603,2220.9329465283495,2240.1136426966746,2252.9978842024916,2269.932981416114,2279.723983926114,2291.1942653114484,2302.198801269531,2307.558481599945,2312.7502220817114,2316.9416212521364,2323.311152227785,2328.828727484544,2336.369249867906,2349.2660800693675,2360.5836861979233,2372.3285739034513,2387.0231980037133,2401.5904931065215,2418.1201265730747,2425.986859603783,2429.9783902186714,2426.435467990582,2429.5847975452507,2436.199981857789,2444.0123110278423,2452.4541841143377,2461.82563444895,2473.0566104017203,2484.661489028519,2495.9309509216764,2506.7910623961156,2513.2583026980606,2512.773528363563,2507.801686974742,2508.727461046275,2514.133441457069,2522.429567182016,2519.738389593145,2503.044634297659,2478.549889259318,2460.435080336816,2454.0097203865653,2445.850276080031,2435.994930734429,2426.2661094906534,2427.4543223406467,2424.031062295943,2421.714380342576,2416.8020664667138,2426.094563147731,2441.2593855331484,2466.174725635422,2498.0928576153974,2543.387247970057,2598.9648449706183,2641.964835602107,2672.164025257326,2690.217145269488,2712.672877755871,2732.002612094248,2753.2294616546824,2773.43898769102,2798.802294020721,2830.222738386141,2854.4775422724892,2881.992592548394,2898.394014929311,2913.49171528157,2908.0212375702467,2899.516230230995,2891.0928806178617,2886.761414759222,2888.309963081582,2894.089345517779,2904.1184806253104,2908.8842653557617
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,1065.5359234489729,1074.9740281094419,1073.674735174589,1075.1952749721481,1078.3848111870864,1101.4728081520768,1111.609191619536,1119.3337659059475,1116.8227827784508,1117.8258724974414,1119.5885135388135,1118.3155924676848,1119.0325699302934,1118.8585001522235,1133.9894038935627,1165.150875225245,1174.6636468219785,1209.311310085699,1206.7213787646483,1227.1862486909943,1220.4359240992228,1214.2942610755244,1226.4090518753287,1212.9486160916326,1215.536663198319,1198.0309981808095,1189.4183404783569,1188.3196779772513,1192.2104352378212,1207.090178654522,1228.9214997220697,1248.0609081898872,1268.7406675304844,1275.713099765711,1277.833670003539,1274.6977798455184,1271.5672522887428,1269.560695396812,1273.4299233128575,1274.8236015287666,1280.3392910108605,1287.6800526358256,1297.6296096090691,1308.5507394669503,1314.028601034277,1320.6851885879914,1317.1404017469274,1311.835266265638,1305.493835884104,1304.301035155437,1305.2666319266707,1307.666466226979,1310.8039666179377,1316.1073967960028,1319.026334036491,1322.0871706257474,1322.55064934153,1319.3318827279622,1313.8946343189525,1311.5535295924851,1307.1423150049004,1304.6107559888464,1299.2483781798614,1304.6896162060002,1311.7574046557352,1317.4542327192805,1321.77506937645,1322.7120141550474,1322.9986379539998,1321.9668074964368,1324.1108437604832,1334.7638005261529,1345.5910530521276,1354.3465246782714,1354.5093190022633,1355.26064054844,1358.1995079979306,1367.0167791057306,1373.3297441704176,1378.0638128248415,1380.5347272655815,1379.8271601583124,1376.801001330167,1374.4517228625077,1377.946857162009,1378.7348585349555,1375.8520879243422,1370.845536180017,1374.0199799366426,1378.4958954252045,1386.7970268754107,1393.5479494262172,1399.9841219897821,1402.3368769585113,1399.9802182130084,1397.7220737062178,1394.8787797550344,1397.7865799295882,1398.9010346927769,1401.3761524898023,1403.7973369538126,1397.169198714998,1386.8659135405992,1375.349872263302,1373.241246976698,1373.8526560049802,1372.018449194208,1374.8907145829705,1378.1188069450832,1379.4011726050812,1376.423371497945,1372.9079307736188,1378.7170898301456,1394.1943995399463,1420.3656850695731,1451.9520436151363,1481.695521436447,1508.0117024450367,1519.4783826386501,1528.4935959458553,1530.4876699590104,1537.7991102599274,1541.6457588572546,1549.4298409273756,1556.8957692243118,1565.3031780324914,1576.979401045124,1589.131551084812,1599.8716585958643,1607.0862931779463,1607.0370444712746,1603.011168937786,1596.4834266441642,1592.5961720011626,1599.527672271878,1608.9587419699808,1618.6693277549457,1623.4435259356997,1629.9016866217291
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1357.9717168975124,1359.3299270755083,1366.2275015938003,1380.850766921603,1394.5447386602482,1407.5559346425373,1415.8200639893942,1416.0715736939508,1420.5077345936875,1419.23854469264,1418.994191732376,1418.524231525922,1423.450998971884,1443.7409615777626,1462.3105845067107,1480.4322691241025,1492.5370780445664,1499.3249015676377,1499.105213710106,1494.6434832527161,1487.8867767652991,1488.2754810272527,1490.9404468550395,1500.3429499502026,1492.525558039233,1506.9317931413668,1520.4120236884894,1551.649019488366,1559.8910062641573,1566.4164005870887,1562.709897323093,1553.1798200157523,1541.8369279024878,1539.7962694590221,1541.5265111690787,1546.5301567920596,1557.3974315367966,1567.2907332861162,1585.4231680194607,1599.283619427134,1612.4716322161669,1615.6401726381027,1608.6972257141815,1600.5384523086104,1590.3945648214924,1588.45953247801,1592.0760845358707,1600.3802461390735,1612.2853092611965,1626.6629179707718,1642.3435606727091,1653.858832459364,1662.3309914852912,1667.3093792632467,1667.4961619546846,1659.4832941081481,1646.4813108880762,1638.1693128353334,1641.268673372395,1654.2390623056092,1669.499331219843,1681.8418102728156,1691.919183153767,1702.3524929886964,1712.3455605287788,1716.5096893146513,1708.235157079569,1692.8891889169058,1676.8803956868267,1670.0455228612066,1673.9567119768888,1689.1027140630433,1708.4910421642523,1726.2713038564905,1738.8784349108748,1746.9322620433338,1752.3149539758924,1750.1977309037356,1740.5564150772439,1727.2505577310164,1713.8037237725227,1709.416833954951,1711.555226710648,1723.0244319746728,1736.3649679028767,1750.031078669105,1764.3434754920868,1776.9091610073658,1785.346183990489,1783.7461493802757,1776.5375443113169,1760.3272612708583,1749.3751481510262,1741.572913891239,1746.286870933852,1756.7455430426614,1773.3741237984977,1792.817903311626,1808.4698699698404,1822.4555624556663,1830.1355205896723,1832.8446544133271,1828.3285478703838,1819.393717877321,1805.394576197758,1795.348477360021,1797.8616028256183,1810.8611650600428,1828.0161722999412,1831.7453462630554,1831.2252028226374,1824.4540044686535,1820.8797760893378,1807.80518072289,1782.0362056351116,1747.2839398827782,1715.0948557437266,1694.2656998929315,1688.9054268798075,1696.762508459346,1722.9397081871814,1760.930521516507,1805.4500991121145,1841.7723932240235,1865.209073082825,1881.8703061221863,1884.974883013767,1884.015571734447,1874.1518230037304,1876.6425930631915,1890.0242461030032,1912.8090014693746,1939.7482660165933,1965.0798827765,1993.4957230788648,2016.9437820824608,2037.731957556146,2044.5832669389358,2043.8388691472878,2038.0845209739093,2029.8317521407978,2029.3392438171809,2035.7157711379825,2052.7303397846413,2070.721835645161,2090.782404153049,2119.338833334489
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,,,,,,,,,923.6960669747319,922.7095651248092,924.4394822236901,930.5088857899074,935.4090274964685,942.8049253395636,942.9688032389378,951.4977845501614,956.5159731660935,963.4898541863193,958.3759513317186,954.9423774855704,954.5372950198121,959.6254559893255,963.1366906375675,967.3088905932153,972.9049108764438,978.7684915385771,983.2617706749267,987.8245323668569,994.1276338764125,994.4113463292489,995.0657148684948,995.4487025091472,993.2432427274896,990.8291616497274,985.5102255508923,990.9788971799708,993.1882569938186,998.9890071562727,1005.3586935746981,1015.2192256840873,1021.945510087723,1025.857030186521,1025.9558805691863,1024.7826346328036,1023.6562319411009,1022.3513936486283,1024.6689937304884,1026.853398235407,1033.917270588887,1042.0549038339238,1052.4321397025292,1060.14777902769,1064.2946780403915,1063.277373568997,1061.4245473053156,1062.5863013245037,1067.9423337979892,1072.6500871782412,1073.5430110028292,1074.235865155062,1078.5278639167623,1087.1086044365493,1094.0890461861504,1097.7360734503575,1098.5941892759324,1101.3975715192146,1103.9185092293544,1104.2897708304558,1105.7457040977954,1103.6715660326317,1105.7563531773212,1109.4544830012558,1116.4104047447604,1123.4355609844836,1126.2735039724507,1133.0378712756872,1138.653023045523,1140.6410449648424,1139.6083443071225,1135.8517901142757,1134.6680370876495,1132.9205264564994,1131.763387007623,1132.1949161831612,1137.8782713304138,1145.1166394058725,1152.8883928746247,1157.7972996227957,1164.0464662965107,1170.1008123517972,1173.1484897259966,1173.8149811975757,1173.7213309600081,1170.2871867186072,1171.1364220780856,1173.20762507732,1181.1975242144074,1186.771997874672,1193.4192000056712,1199.4401577620733,1206.5402288046225,1213.7710685556613,1218.7429526260223,1219.756284392849,1211.295520634459,1206.6054772679506,1205.543255685645,1209.701748790389,1211.3611632733894,1208.0086088443034,1206.2031153532043,1205.794163422716,1211.2951960562048,1218.4369687405251,1223.5267225722664,1225.2025171544353,1224.9640973049761,1226.1390320659978,1229.4570089715069,1231.3759841732772,1240.319755468878,1254.0179958554875,1274.633917755889,1297.907633101324,1326.824857127016,1362.1074079097157,1390.3201445113737,1403.1704459286193,1403.7973499173786,1407.1653870208888,1411.0332826594813,1420.3199840097777,1427.7624969481433,1444.4059987792753,1460.1872901431186,1474.8828222054879,1489.2045530065002,1494.3357082991565,1493.5388204105072,1483.905425219786,1479.571354610377,1474.976176105209,1478.1188497097319,1476.1133365839107,1485.6038355826881,1487.6673471942495,1494.9567400307635
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,,,,,,,,,1225.2140432729075,1223.9080374453574,1234.2686475484177,1232.1563865282892,1241.8579974334477,1245.216034126722,1250.4357166787347,1257.1933525959093,1258.3527047923556,1260.3962612317825,1258.5617355124157,1254.6758778029043,1255.7502647428905,1257.4675384327359,1255.1744772593293,1256.4355546732054,1260.3694152185637,1270.6689929606484,1281.7774653703957,1291.3584207366105,1297.6783051181483,1299.771627285841,1295.8112462684064,1291.0866116681063,1288.2171246041166,1287.2855534969472,1294.3449504661496,1301.3241692434947,1309.4069374659207,1307.522561638028,1309.8242138571918,1316.3805907932299,1326.7383533666905,1331.5195539823928,1334.5785226866485,1338.3685825329933,1330.0186126756355,1314.476280518175,1312.391433819743,1318.5528611108814,1338.9863153022454,1349.194140598318,1363.5490197318545,1371.7774562904144,1376.9443901482719,1381.2641762557569,1375.3017878998908,1370.8275057623287,1367.763536658074,1367.0326570670775,1368.7786520504717,1371.5226787175304,1386.2302291047497,1397.9314616983268,1408.813471813358,1414.4666019396275,1417.584476590918,1415.774706534413,1410.6496878546914,1405.3076800716226,1408.0333247374667,1408.1088555418978,1409.9549227478556,1414.5255429955143,1427.3867234480645,1440.0076044249017,1446.3727573994433,1451.1605899901772,1455.3049627830417,1458.5170116519319,1455.0236281265209,1452.2811011375966,1448.440729167618,1447.1622556323302,1448.6843382521222,1454.4723575871653,1467.8261131554207,1480.250968041302,1492.8067071851578,1499.2504608505117,1500.665514793391,1501.0273893211186,1498.7355698674326,1500.407520047693,1504.2397091419361,1504.1281663809493,1506.0321986274798,1508.0074630224094,1521.8538140286457,1532.726737662299,1542.8797563452458,1552.9473674721378,1561.4166009611768,1563.5935219214302,1559.3950803050725,1556.500740920488,1555.8194847675547,1556.3225747194865,1558.118226517301,1567.9500365707286,1576.3308743951259,1579.467731417517,1575.0919597772308,1573.470293066167,1576.8229965969558,1580.9427445635856,1576.5265163338975,1568.1620551581261,1558.7146879886034,1556.1780770605985,1558.8047930913892,1561.7254896599225,1570.957711347455,1584.1131027503093,1607.1441006971415,1625.8636372205676,1645.0698843697194,1663.1970720434392,1679.7898229756217,1689.537851419949,1692.2393702512993,1701.1935145283355,1707.7641259086788,1717.7052215905585,1727.1591875223305,1744.2498711806077,1760.1124671457796,1774.9327806625759,1784.9334823717102,1794.5365045740464,1795.4717907305278,1790.2861737403514,1785.7517606830222,1779.956609804989,1783.6127394911912,1785.8332660698372,1793.3521613350815,1801.815344647789,1808.4948612623878
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,815.3831477747951,821.4751626084162,825.7413568154072,824.7891492637847,824.8669947903384,826.1277676484107,827.4400078053693,824.9181469083809,826.1785664885413,824.9812725755611,828.4170591835494,830.2499720741107,836.3291214993576,843.3186029561473,846.204096692985,850.0124214053149,850.4517181211122,852.0441952728652,850.8174452626336,850.9933667037626,848.8496084961308,849.7858241559813,851.1022455367056,855.6777441639699,859.4917788664375,863.7026997367675,866.2883000687686,868.9635612877368,872.3429049601422,872.1362990706432,875.5822655428005,877.1211805055058,881.8070852556859,876.0240636372927,873.5672157729481,877.2035701972393,886.7277123884144,890.1957849465554,895.5067838213106,901.7287709862575,907.4872510669617,909.9509683114273,910.280061628313,913.0213371071992,910.9619870244286,911.7702304077153,914.5421389379376,923.9106135573865,931.4186768735075,946.5920397559896,953.4881685240686,962.4474960001851,962.8494781108593,965.0811504298955,969.2517872354247,970.293558626105,973.5814943266864,972.7014822507647,976.0408377312274,981.4829072897078,994.2511575745765,1006.7456297012036,1018.3365653968839,1023.5106546247417,1025.45405126567,1024.949348110624,1024.8145128303827,1027.1845744510454,1028.4574786504259,1029.4473329981502,1033.7703507807269,1041.2874463350431,1053.2073876267857,1065.0550828816276,1078.1044151289407,1086.3155245645187,1092.238004745593,1093.573883878431,1092.3373399118702,1094.7986666355496,1095.9040780853989,1098.5145898262533,1100.1748703066266,1103.642993659197,1116.6443852838413,1131.9440271843846,1147.5518914020283,1155.9012658296042,1160.954495868747,1168.9200458385556,1175.091531118852,1181.3729389359876,1185.7469533364686,1190.4004260699924,1192.8514094547434,1203.1160725975153,1215.0560532479392,1231.6092545309332,1242.7209520142542,1254.24479656667,1262.0040661091643,1269.8563748407764,1273.678205171453,1279.025021077123,1281.3964312466594,1292.6252174692606,1298.8087044547917,1312.9137836796258,1315.9462061701086,1316.3043363409752,1312.4096388641692,1316.5563662868362,1326.784367521978,1338.8560817915522,1352.27149135687,1365.493002645433,1376.9583353413932,1383.9136722710489,1397.8700612130465,1408.0232808372903,1431.7930141967151,1461.8907422467478,1512.0207037210653,1560.317083804617,1616.6134102839478,1663.3438168709574,1702.5985683102804,1722.2129231637364,1739.2066013347733,1751.5520269362598,1761.5749633625776,1767.169547686063,1778.8538234639504,1792.2077979810615,1808.0549246559801,1817.2535161692997,1825.7898216035676,1823.6164605670838,1817.3913228889912,1811.4189794923886,1802.3082954226488,1799.0966873894454,1787.7236805464136,1789.5559059039165,1794.0451750223347,1806.287350959722,1815.0603499438578
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,988.5186033233074,989.3132001745091,988.2012540293265,990.9001523196326,990.7531315811646,988.2793614211411,988.0149329846912,988.1253816177349,983.9401735928869,978.4754641259977,973.6089859254813,973.1807638472538,976.0050819103234,978.3027361777949,982.5570627977191,985.0958478741461,987.1014266431155,984.8860466541553,984.5881634564762,981.9753329427308,981.4358728147212,980.9632744093524,978.7969808637029,979.6565308336827,978.6877720370956,983.1556731808329,985.9272203977733,987.9925140808252,992.1234146253267,994.8047697317398,997.9721961878745,993.2337528915206,989.5744088933399,986.7522969248057,987.6597664086263,989.0246306179481,993.106360361697,997.056424958577,1003.0332077106849,1008.8862369829394,1015.416148440468,1017.8962580242509,1017.0049406561359,1018.0578645931064,1019.109317648196,1019.2300743854768,1018.0204727709126,1020.2626797026893,1025.0717754293628,1034.6245447319775,1041.5608232001841,1049.0613849315203,1053.6198205565356,1058.9807742651026,1063.13358955176,1062.5522223086384,1061.1447164232266,1060.3699310695297,1062.2556128286874,1066.8871343779185,1072.815600971386,1079.3144464630889,1086.9572212460614,1095.7251507506073,1101.5455594319067,1104.7724918792844,1105.1152113825267,1107.3409806836323,1107.797091255678,1107.5015336870829,1109.224329951869,1116.331987214431,1126.7637712662786,1137.6337203551454,1146.4252477891732,1154.7147525074865,1162.782679965804,1168.5922964732315,1172.1038400339748,1173.3275294763762,1174.5138225466383,1177.9584237786505,1180.8431504003706,1189.002399433076,1196.9818357168099,1212.570762896364,1224.7706574476738,1237.568655411122,1245.854952103681,1253.4599952760655,1258.043033607746,1260.9256801889892,1262.739003101904,1264.1202226519827,1267.1371845182562,1271.5767086043988,1282.4790726374924,1293.7454584375675,1307.155782948195,1316.4870195891629,1324.2101800704788,1330.3610660503925,1331.5557773468322,1331.5192864732917,1328.472063571874,1329.811650733225,1331.086410974101,1337.6388666080347,1343.8542542705018,1337.495551264479,1329.2071452155053,1327.6242086368784,1345.541218509266,1366.206083321111,1384.4733780686438,1398.6716228650266,1409.5797889095095,1415.342769727329,1424.047848623759,1436.1355575190732,1453.3808578098872,1478.63516821662,1521.8613744934178,1580.043875026166,1643.0084033727264,1698.9525413880046,1738.5477254328614,1757.7607614393635,1761.704430806399,1764.3026377739075,1770.1449761592696,1779.3563962795463,1785.883885753166,1797.813083980346,1812.9513449788863,1831.9700240192346,1846.84432127226,1837.60867616852,1820.3437194511957,1788.2527357847282,1771.5838206574028,1754.8977089252508,1755.9221370504029,1761.0698469281867,1772.5200717159123,1779.5337209293518,1788.9997290198853
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1531.1446260789983,1533.3441720681953,1537.9375070825597,1552.1245331738683,1556.020150406972,1552.9966638228498,1549.301569130468,1558.8682509510952,1559.981229412659,1563.808134787861,1553.5379048112602,1558.331830419993,1555.6421653539778,1572.4379381142066,1585.049344701453,1597.7591168082627,1601.3681823994052,1600.6577675424228,1600.9802583027013,1593.7459844895627,1597.6637754000728,1597.9041520879523,1609.585935766615,1617.6974442616895,1626.7985633147025,1632.6146237036667,1641.9224680072612,1654.660080465571,1663.9725171661837,1674.2696341808066,1675.0360219357956,1680.1995446029202,1673.1961389528926,1674.4934564445293,1673.7129409551587,1686.7849920346707,1697.0410906869633,1703.1424556073896,1709.287280002513,1726.041232749308,1744.989986655766,1760.3157879513753,1765.2691571652965,1772.9630366520116,1774.8957110766933,1779.1741133701914,1785.0306596016953,1802.9247029428793,1819.271535466407,1830.1019561118271,1835.671756695253,1845.1939421544598,1859.3675772605015,1874.3808009661777,1886.9465177374668,1890.7069603006735,1896.9529386597953,1897.692442016747,1907.5112458599901,1911.8296915639046,1924.8375251220248,1935.354556282541,1947.1574948030316,1963.8858933076767,1974.0926335671645,1983.2544942009936,1983.5618715097512,1990.722840455158,1992.7248056283972,1993.0766393461606,1996.1764577602403,2014.3105899952993,2030.4116016402177,2046.5007039831623,2057.520471156381,2075.15231940967,2094.61159747658,2106.816000843734,2111.4435608798995,2107.8734745808774,2102.177259453283,2103.3796859113204,2113.7720622946026,2129.4339045307283,2144.6160496922844,2154.636319999788,2170.618433457365,2181.424594977592,2198.2638056299807,2211.097211177199,2217.9329405098315,2219.2360994715063,2214.051341981017,2214.8136574123473,2215.2218519990447,2219.3909402407435,2229.6580783264208,2243.9108646148843,2256.1903303907693,2267.424673271462,2277.792964221263,2293.733879433636,2298.530601348981,2304.391077427834,2300.025675012662,2302.2123351744076,2301.7139163412944,2309.560143455357,2317.490774551354,2304.6473285841134,2290.42414116273,2281.556401335974,2296.173529943621,2306.685839629397,2316.0068629576126,2326.101917923531,2340.1719864115616,2348.6586379146333,2358.2419031955624,2363.034276735316,2384.954496499073,2417.669538662143,2467.615162629108,2515.652615788716,2572.3873528558383,2636.0449100034143,2700.7386248362477,2748.954689443298,2782.898293660419,2797.4512420524284,2797.3940650918335,2817.01672863975,2854.6534398178637,2914.069485171309,2957.2585609532557,3006.340431427568,3047.093849767331,3088.3394383009995,3100.324713915295,3095.4125103595916,3066.8306668459113,3042.802658183992,3035.082918816666,3043.6903753247257,3067.9771701559316,3095.958748031986,3131.8465227909983
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,,,,,,,,,985.3023773544965,992.4077518529688,991.0634936120272,993.7983747387974,995.147760324663,1002.3268800593457,1013.6518312490936,1018.3526235050686,1024.6429462146289,1026.2268801081736,1035.5293692452212,1039.2178093315924,1041.7809846651605,1034.2598051368357,1028.2933121835715,1034.3036667803754,1044.1898040383664,1063.4616960100693,1069.2917311807112,1077.4508139414677,1078.0662027449519,1087.1742328454218,1088.6107650608287,1086.3765929665801,1084.376240798279,1098.5401882684482,1103.2437290920784,1100.5062475003201,1092.5478354324455,1089.076334452479,1100.0409086918269,1113.1148838026688,1129.1006826497473,1138.2080325766347,1135.752219363339,1138.4528662380603,1134.4179350294496,1133.9041648622765,1134.7013662441366,1136.0290025329998,1141.2943256233975,1152.8147813377896,1171.0556352025587,1186.1468669241458,1196.4885731683714,1202.2186647311948,1201.2043397889092,1203.362832405939,1208.0373597482812,1212.505989400863,1214.4451782625804,1216.55081039481,1225.0863982888027,1236.0711371304246,1245.421942461561,1256.3125189478428,1262.661320957042,1266.4681524163552,1267.919225169385,1271.8923272094476,1276.3962042190542,1281.4706390409615,1282.0915457689416,1282.6823428574933,1289.2242496303297,1298.728327373005,1313.4093538259986,1322.2162101477943,1326.912469318983,1327.003326330962,1324.0915455721952,1323.9234587939293,1321.8552737879902,1321.7282378605485,1324.1513668981147,1337.3795755728584,1342.8953129822212,1349.9822145327398,1342.2438156912806,1352.5577580860381,1355.1250939007853,1366.7297597179079,1362.7901662691854,1364.950827740581,1365.1573067859595,1366.4488941004345,1367.7644409457087,1373.4503004425135,1382.806504826351,1390.3153591900145,1396.6929843916746,1411.7979220925276,1419.856599592782,1423.4824694069769,1421.1370210750624,1418.510223019691,1412.309119737424,1404.665984277475,1404.87561905419,1412.4577270834607,1420.5968416299063,1418.4266082624176,1412.2937601039796,1406.5799483848173,1405.4923785399105,1403.0400125494878,1399.9948114907277,1402.6594542438077,1407.3646023068443,1410.0916658124659,1411.4648669640208,1417.8970934509293,1430.3215226152158,1451.7985544557748,1480.7609477481694,1519.6044207943426,1560.1009235916695,1592.7377687970143,1616.1876523144786,1624.4652253884205,1636.075254698322,1642.1688580100056,1656.2751579622238,1668.6109711349884,1679.0024682502574,1702.9914313683344,1733.8392005203873,1780.6526513062852,1808.9172938077575,1819.731985394742,1816.6884048787163,1799.488175385027,1782.2313678487847,1759.7149323608169,1752.4355099309576,1751.321503325068,1758.593582549114,1767.8236231789438,1782.348714941677
